Departement,bureau,Inscrits,Votants,Enveloppes,nuls,exprimes,Madické NIANG,Macky SALL,El hadji SALL,Idrissa SECK,Ousmane SONKO
Dakar,1190,663021,456107,456107,2829,453278,5646,212355,18662,115612,101003
Guediawaye,350,195332,134316,134316,724,133592,1977,65174,6552,35646,24243
Pikine,1026,573844,380188,380188,2448,377740,6601,183630,22866,90388,74255
Rufisque,501,255630,185295,185295,1148,184147,2273,100632,16164,34892,30186
Bambey,276,113441,72244,72244,912,71332,1539,38625,1125,25364,4679
Diourbel,269,110748,72265,72265,872,71393,1682,40501,884,22026,6300
Mbacke,810,364826,225127,225127,2575,222552,9963,67745,2434,129724,12686
Fatick,374,160733,101280,101280,1109,100171,673,80888,4089,5172,9349
Foundiougne,301,118747,78056,78056,795,77261,771,62373,1109,5103,7905
Gossas,123,42810,27887,27887,307,27580,435,20292,518,4299,2036
Birkilane,122,46459,31620,31620,429,31191,583,22854,1053,3309,3392
Kaffrine,208,80823,55509,55509,691,54818,731,38874,3406,6513,5294
Koungheul,191,68248,43673,43673,750,42923,442,33728,885,5020,2848
Malem hodar,110,36551,24884,24884,348,24536,345,18926,1398,2582,1285
Guinguineo,148,50145,33998,33998,325,33673,555,21723,2645,5786,2964
Kaolack,509,237245,148171,148171,1377,146794,1758,99376,4334,18649,22677
Nioro du rip,358,138529,93551,93551,1313,92238,1264,72463,1506,7180,9825
Kedougou,109,37202,23013,23013,396,22617,377,16153,324,2494,3269
Salemata,33,10277,6659,6659,99,6560,309,4525,75,1062,589
Saraya,66,17688,11350,11350,262,11088,226,7122,275,1383,2082
Kolda,247,89246,59793,59793,951,58842,1042,36927,789,6245,13839
Medina yoro foulah,113,40366,28539,28539,819,27720,396,19992,311,2888,4133
Velingara,292,99787,69590,69590,1183,68407,966,47551,1361,8106,10423
Kebemer,334,120375,81212,81212,732,80480,2076,42166,4374,26739,5125
Linguere,336,118302,80179,80179,903,79276,1859,64291,1603,5857,5666
Louga,472,175467,121932,121932,1057,120875,2344,73514,15617,19788,9612
Kanel,236,108113,71253,71253,1147,70106,192,65679,309,1364,2562
Matam,301,141286,100273,100273,1016,99257,284,92454,582,2239,3698
Ranerou,64,24315,16485,16485,389,16096,137,14827,122,528,482
Dagana,316,134210,93052,93052,744,92308,957,62091,6380,11033,11847
Podor,480,207955,138198,138198,1533,136665,510,127639,908,2806,4802
Saint louis,318,162702,110148,110148,693,109455,3160,62788,7471,17404,18632
Bounkiling,172,58448,38485,38485,602,37883,255,23385,533,1105,12605
Goudomp,184,68584,46882,46882,688,46194,770,23343,635,4434,17012
Sedhiou,195,66023,43576,43576,434,43142,680,23414,407,3808,14833
Bakel,173,60479,35091,35091,682,34409,471,25723,419,2908,4888
Goudiry,177,44739,28756,28756,626,28130,303,21641,708,1964,3514
Koumpentoum,162,40839,30095,30095,513,29582,580,20220,517,4613,3652
Tambacounda,349,105306,66007,66007,994,65013,1074,46096,1184,5401,11258
Mbour,668,312814,213134,213134,1904,211230,2042,132202,11653,35437,29896
Thies,774,363482,256414,256414,1787,254627,2312,100422,12102,120054,19737
Tivaouane,540,224919,162901,162901,1190,161711,2054,79757,14098,55966,9836
Bignona,334,128489,82342,82342,548,81794,377,27398,412,2169,51438
Oussouye,76,29752,18802,18802,148,18654,101,8707,231,406,9209
Ziguinchor,264,125154,78221,78221,599,77622,510,32846,556,2419,41291
Afrique du Nord,73,39118,14758,14758,131,14627,203,6606,950,3408,3460
Afrique de l'Ouest,172,59196,29774,29774,284,29490,322,17370,658,7413,3727
Afrique du Centre,74,34386,19271,19271,67,19204,123,15052,228,1817,1984
Afrique Australe,13,3272,2056,2056,4,2052,14,1099,103,612,224
Europe de l'O C N,141,68613,32926,32926,176,32750,212,15394,573,3191,13380
Europe du Sud,198,80387,38142,38142,133,38009,418,12008,2197,11551,11835
Amerique Océanie,62,19857,10628,10628,64,10564,80,3082,167,2389,4846
Asie Moyen Orient,13,4763,2236,2236,15,2221,28,962,71,408,752